Position,Name,Points
1,Ferrari,124
2,Red Bull Racing RBPT,113
3,Mercedes,77
4,McLaren Mercedes,46
5,Alfa Romeo Ferrari,25
6,Alpine Renault,22
7,AlphaTauri RBPT,16
8,Haas Ferrari,15
9,Aston Martin Aramco Mercedes,5
10,Williams Mercedes,1
